goos: windows
goarch: amd64
pkg: github.com/zelr0x/chainyq/deque
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkPushFront/chainyq.Deque_Reserve-12        	351525253	         3.398 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	355309628	         3.402 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	351409546	         3.360 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	354337578	         3.420 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	349921864	         3.368 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	352169820	         3.441 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	341145759	         3.464 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Reserve-12        	313064656	         3.384 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	438295162	         2.724 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	444891477	         2.743 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	421374354	         2.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	428428363	         2.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	434462586	         2.737 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	432998997	         2.744 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	414731683	         2.733 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	438526608	         2.700 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	429521898	         2.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.Deque_Ensure-12         	445425369	         2.775 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	255719648	         4.510 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	267728536	         4.499 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	255365222	         4.607 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	255083277	         4.488 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	263717078	         4.532 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	268641238	         4.673 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	272521827	         4.520 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	266853700	         4.405 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	260380502	         4.548 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/edwingeng.Deque-12              	267256352	         4.875 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	201044559	         7.421 ns/op	      21 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	186745924	         6.206 ns/op	      22 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	193605906	         6.167 ns/op	      22 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	236725096	         4.949 ns/op	      18 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	232406714	         4.786 ns/op	      18 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	245546803	         4.660 ns/op	      17 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	235415702	         4.684 ns/op	      18 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	247111574	         4.642 ns/op	      17 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	242275646	         5.527 ns/op	      17 B/op	       0 allocs/op
BenchmarkPushFront/gammazero.Deque-12              	212890596	         5.195 ns/op	      20 B/op	       0 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	24620940	        50.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	25373089	        46.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	25869316	        46.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	25486851	        50.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	34680577	        40.69 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	23378732	        50.83 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	30118801	        47.40 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	28236422	        42.48 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	29102761	        42.64 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/chainyq.list.List-12            	31693041	        45.48 ns/op	      24 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	15995094	        71.88 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	15869216	        82.30 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	17642258	        67.86 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	19796478	        65.94 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	15172532	        74.36 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	16535166	        72.54 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	16834308	        71.04 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	18297033	        73.89 ns/op	      55 B/op	       1 allocs/op
